t,phi,omega,mu
0.36000000000000015, 2.2200000000000015, 6.0, -1.3877787807814457e-17
0.37000000000000016, 2.2800000000000016, 6.0, -1.3877787807814457e-17
0.38000000000000017, 2.3400000000000016, 6.0, -1.3877787807814457e-17
0.3900000000000002, 2.4000000000000017, 6.0, -1.3877787807814457e-17
0.4000000000000002, 2.4600000000000017, 6.0, -1.3877787807814457e-17
0.4100000000000002, 2.520000000000002, 6.0, -1.3877787807814457e-17
0.4200000000000002, 2.580000000000002, 6.0, -1.3877787807814457e-17
0.4300000000000002, 2.640000000000002, 6.0, -1.3877787807814457e-17
0.4400000000000002, 2.700000000000002, 6.0, -1.3877787807814457e-17
0.45000000000000023, 2.760000000000002, 6.0, -1.3877787807814457e-17
0.46000000000000024, 2.820000000000002, 6.0, -1.3877787807814457e-17
0.47000000000000025, 2.880000000000002, 6.0, -1.3877787807814457e-17
0.48000000000000026, 2.940000000000002, 6.0, -1.3877787807814457e-17
0.49000000000000027, 3.000000000000002, 6.0, -1.3877787807814457e-17
0.5000000000000002, 3.0600000000000023, 6.0, -1.3877787807814457e-17
0.5100000000000002, 3.1200000000000023, 6.0, -1.3877787807814457e-17
0.5200000000000002, 3.1800000000000024, 6.0, -1.3877787807814457e-17
0.5300000000000002, 3.2400000000000024, 6.0, -1.3877787807814457e-17
0.5400000000000003, 3.3000000000000025, 6.0, -1.3877787807814457e-17
0.5500000000000003, 3.3600000000000025, 6.0, -1.3877787807814457e-17
0.5600000000000003, 3.4200000000000026, 6.0, -1.3877787807814457e-17
0.5700000000000003, 3.4800000000000026, 6.0, -1.3877787807814457e-17
0.5800000000000003, 3.5400000000000027, 6.0, -1.3877787807814457e-17
0.5900000000000003, 3.6000000000000028, 6.0, -1.3877787807814457e-17
0.6000000000000003, 3.660000000000003, 6.0, -1.3877787807814457e-17
0.6100000000000003, 3.720000000000003, 6.0, -1.3877787807814457e-17
0.6200000000000003, 3.780000000000003, 6.0, -1.3877787807814457e-17
0.6300000000000003, 3.840000000000003, 6.0, -1.3877787807814457e-17
0.6400000000000003, 3.900000000000003, 6.0, -1.3877787807814457e-17
0.6500000000000004, 3.960000000000003, 6.0, -1.3877787807814457e-17
0.6600000000000004, 4.020000000000003, 6.0, -1.3877787807814457e-17
0.6700000000000004, 4.080000000000003, 6.0, -1.3877787807814457e-17
0.6800000000000004, 4.140000000000002, 6.0, -1.3877787807814457e-17
0.6900000000000004, 4.200000000000002, 6.0, -1.3877787807814457e-17
0.7000000000000004, 4.260000000000002, 6.0, -1.3877787807814457e-17
0.7100000000000004, 4.320000000000001, 6.0, -1.3877787807814457e-17
0.7200000000000004, 4.380000000000001, 6.0, -1.3877787807814457e-17
0.7300000000000004, 4.44, 6.0, -1.3877787807814457e-17
0.7400000000000004, 4.5, 6.0, -1.3877787807814457e-17
0.7500000000000004, 4.56, 6.0, -1.3877787807814457e-17
0.7600000000000005, 4.619999999999999, 6.0, -1.3877787807814457e-17
0.7700000000000005, 4.679999999999999, 6.0, -1.3877787807814457e-17
0.7800000000000005, 4.739999999999998, 6.0, -1.3877787807814457e-17
0.7900000000000005, 4.799999999999998, 6.0, -1.3877787807814457e-17
0.8000000000000005, 4.859999999999998, 6.0, -1.3877787807814457e-17
0.8100000000000005, 4.919999999999997, 6.0, -1.3877787807814457e-17
0.8200000000000005, 4.979999999999997, 6.0, -1.3877787807814457e-17
0.8300000000000005, 5.0399999999999965, 6.0, -1.3877787807814457e-17
0.8400000000000005, 5.099999999999996, 6.0, -1.3877787807814457e-17
0.8500000000000005, 5.159999999999996, 6.0, -1.3877787807814457e-17
0.8600000000000005, 5.219999999999995, 6.0, -1.3877787807814457e-17
0.8700000000000006, 5.279999999999995, 6.0, -1.3877787807814457e-17
0.8800000000000006, 5.3399999999999945, 6.0, -1.3877787807814457e-17
0.8900000000000006, 5.399999999999994, 6.0, -1.3877787807814457e-17
